,Stock_Name,Open,High,Low,Close,Adj Close,Volume,Date
0,AIN,53.849998,54.700001,53.599998,53.849998,50.927341,188800.0,2017-07-10T00:00:00
1,AIN,54.0,54.450001,53.23,54.25,51.305622,174000.0,2017-07-11T00:00:00
2,AIN,54.599998,55.150002,54.25,54.450001,51.494774,45700.0,2017-07-12T00:00:00
3,AIN,54.450001,54.599998,53.549999,54.0,51.069195,85200.0,2017-07-13T00:00:00
4,AIN,53.799999,54.200001,52.73,53.900002,50.974625,130800.0,2017-07-14T00:00:00
5,AIN,53.75,53.900002,53.450001,53.549999,50.643616,122100.0,2017-07-17T00:00:00
6,AIN,53.549999,53.849998,53.099998,53.650002,50.73819,70300.0,2017-07-18T00:00:00
7,AIN,53.650002,54.099998,53.5,54.049999,51.11647,121300.0,2017-07-19T00:00:00
8,AIN,54.150002,54.549999,53.75,54.400002,51.447479,86300.0,2017-07-20T00:00:00
9,AIN,54.599998,54.650002,53.75,53.849998,50.927341,112300.0,2017-07-21T00:00:00
10,AIN,53.900002,54.450001,53.299999,53.700001,50.785473,90200.0,2017-07-24T00:00:00
11,AIN,54.099998,54.700001,53.950001,54.150002,51.211052,89300.0,2017-07-25T00:00:00
12,AIN,54.349998,54.349998,53.599998,54.099998,51.163757,87700.0,2017-07-26T00:00:00
13,AIN,54.349998,54.599998,53.900002,53.950001,51.021908,80400.0,2017-07-27T00:00:00
14,AIN,53.75,54.599998,53.700001,54.450001,51.494774,114200.0,2017-07-28T00:00:00
15,AIN,54.650002,54.650002,53.380001,53.5,50.596321,138100.0,2017-07-31T00:00:00
16,AIN,53.799999,53.799999,53.0,53.549999,50.643616,135900.0,2017-08-01T00:00:00
17,AIN,50.5,51.549999,49.5,50.599998,47.853725,423800.0,2017-08-02T00:00:00
18,AIN,50.650002,51.950001,50.650002,51.900002,49.083172,283400.0,2017-08-03T00:00:00
19,AIN,52.0,52.900002,51.200001,52.150002,49.319595,154200.0,2017-08-04T00:00:00
20,AIN,52.150002,52.849998,51.950001,52.200001,49.366879,117000.0,2017-08-07T00:00:00
21,AIN,52.150002,53.5,52.049999,52.5,49.6506,128800.0,2017-08-08T00:00:00
22,AIN,52.25,52.5,50.900002,51.0,48.23201,130600.0,2017-08-09T00:00:00
23,AIN,50.75,50.900002,50.299999,50.299999,47.570004,164700.0,2017-08-10T00:00:00
24,AIN,49.700001,50.700001,49.349998,50.349998,47.617287,122800.0,2017-08-11T00:00:00
25,AIN,50.75,51.5,50.75,51.349998,48.563023,194200.0,2017-08-14T00:00:00
26,AIN,51.450001,51.450001,50.549999,50.650002,47.901012,113700.0,2017-08-15T00:00:00
27,AIN,50.75,51.700001,50.549999,51.400002,48.610302,248300.0,2017-08-16T00:00:00
28,AIN,51.200001,51.200001,50.200001,50.25,47.52272,223900.0,2017-08-17T00:00:00
29,AIN,49.849998,50.5,49.200001,50.400002,47.664585,179600.0,2017-08-18T00:00:00
30,AIN,50.299999,51.150002,50.299999,50.900002,48.137436,112800.0,2017-08-21T00:00:00
31,AIN,51.099998,51.330002,50.799999,51.299999,48.515724,72500.0,2017-08-22T00:00:00
32,AIN,50.900002,51.200001,50.900002,51.099998,48.326584,84200.0,2017-08-23T00:00:00
33,AIN,51.25,51.599998,51.099998,51.400002,48.610302,95300.0,2017-08-24T00:00:00
34,AIN,51.599998,52.0,51.299999,51.75,48.941311,60100.0,2017-08-25T00:00:00
35,AIN,51.900002,52.200001,51.700001,52.049999,49.225021,110000.0,2017-08-28T00:00:00
36,AIN,51.700001,52.5,51.299999,52.299999,49.461452,81200.0,2017-08-29T00:00:00
37,AIN,52.299999,52.400002,51.950001,52.200001,49.366879,70800.0,2017-08-30T00:00:00
38,AIN,52.349998,53.700001,52.25,53.599998,50.690899,133400.0,2017-08-31T00:00:00
39,AIN,53.700001,54.099998,53.549999,53.950001,51.021908,86200.0,2017-09-01T00:00:00
40,AIN,53.75,54.099998,53.400002,53.700001,50.785473,68600.0,2017-09-05T00:00:00
41,AIN,54.049999,54.049999,52.75,52.900002,50.0289,88100.0,2017-09-06T00:00:00
42,AIN,53.0,53.0,52.099998,52.5,49.6506,69800.0,2017-09-07T00:00:00
43,AIN,52.25,53.25,51.849998,53.0,50.286297,66800.0,2017-09-08T00:00:00
44,AIN,53.349998,53.75,53.25,53.650002,50.903008,59000.0,2017-09-11T00:00:00
45,AIN,53.75,54.549999,53.75,54.450001,51.662056,87800.0,2017-09-12T00:00:00
46,AIN,54.299999,55.0,53.799999,54.900002,52.089012,72000.0,2017-09-13T00:00:00
47,AIN,54.799999,55.349998,54.599998,55.25,52.421097,72500.0,2017-09-14T00:00:00
48,AIN,55.349998,56.049999,55.099998,55.5,52.658291,329800.0,2017-09-15T00:00:00
49,AIN,55.599998,56.150002,55.349998,55.950001,53.085251,128800.0,2017-09-18T00:00:00
50,AIN,56.099998,56.400002,53.5,55.75,52.895489,335000.0,2017-09-19T00:00:00
51,AIN,55.950001,56.5,55.450001,56.099998,53.227566,182100.0,2017-09-20T00:00:00
52,AIN,56.099998,56.400002,55.900002,55.900002,53.037811,109300.0,2017-09-21T00:00:00
53,AIN,55.849998,56.450001,55.700001,56.25,53.369896,77900.0,2017-09-22T00:00:00
54,AIN,56.150002,56.549999,55.75,56.5,53.607094,90600.0,2017-09-25T00:00:00
55,AIN,56.650002,56.650002,55.849998,55.900002,53.037811,117400.0,2017-09-26T00:00:00
56,AIN,56.200001,57.650002,55.650002,57.099998,54.176365,196300.0,2017-09-27T00:00:00
57,AIN,57.0,57.650002,56.650002,57.599998,54.650768,115100.0,2017-09-28T00:00:00
58,AIN,57.5,57.950001,57.25,57.400002,54.461002,95000.0,2017-09-29T00:00:00
59,AIN,57.450001,58.200001,57.330002,58.200001,55.220051,110100.0,2017-10-02T00:00:00
60,AIN,58.299999,58.599998,58.049999,58.349998,55.362358,100700.0,2017-10-03T00:00:00
61,AIN,58.299999,58.880001,58.099998,58.349998,55.362358,53900.0,2017-10-04T00:00:00
62,AIN,58.200001,58.450001,57.450001,57.450001,54.508442,115200.0,2017-10-05T00:00:00
63,AIN,57.549999,57.549999,56.849998,57.099998,54.176365,121700.0,2017-10-06T00:00:00
64,AIN,57.099998,57.599998,57.049999,57.049999,54.128922,82500.0,2017-10-09T00:00:00
