,Stock_Name,Open,High,Low,Close,Adj Close,Volume,Date
0,AAON,37.099998,37.610001,36.75,37.25,35.981762,100000.0,2017-07-10T00:00:00
1,AAON,37.200001,37.549999,36.75,37.299999,36.030052,163300.0,2017-07-11T00:00:00
2,AAON,37.549999,37.75,37.099998,37.549999,36.271549,66200.0,2017-07-12T00:00:00
3,AAON,37.549999,37.549999,36.849998,37.549999,36.271549,85300.0,2017-07-13T00:00:00
4,AAON,37.450001,37.799999,37.099998,37.5,36.223244,84600.0,2017-07-14T00:00:00
5,AAON,37.450001,37.75,37.200001,37.650002,36.368141,79500.0,2017-07-17T00:00:00
6,AAON,37.549999,37.700001,37.0,37.150002,35.885162,64900.0,2017-07-18T00:00:00
7,AAON,37.150002,37.599998,37.150002,37.549999,36.271549,56200.0,2017-07-19T00:00:00
8,AAON,37.599998,37.700001,37.049999,37.5,36.223244,69300.0,2017-07-20T00:00:00
9,AAON,37.700001,37.75,37.25,37.299999,36.030052,112400.0,2017-07-21T00:00:00
10,AAON,37.299999,37.299999,34.900002,35.200001,34.00156,259600.0,2017-07-24T00:00:00
11,AAON,35.400002,35.799999,34.849998,35.0,33.808369,384000.0,2017-07-25T00:00:00
12,AAON,35.25,35.25,34.299999,34.400002,33.228798,156100.0,2017-07-26T00:00:00
13,AAON,34.450001,34.599998,33.75,33.900002,32.745819,132000.0,2017-07-27T00:00:00
14,AAON,33.849998,34.099998,33.48,33.799999,32.64922,125900.0,2017-07-28T00:00:00
15,AAON,33.75,34.0,33.25,33.799999,32.64922,180300.0,2017-07-31T00:00:00
16,AAON,34.0,34.25,33.549999,33.950001,32.794117,139800.0,2017-08-01T00:00:00
17,AAON,33.950001,34.049999,33.349998,33.75,32.600933,89100.0,2017-08-02T00:00:00
18,AAON,33.400002,33.799999,29.950001,33.700001,32.552624,688500.0,2017-08-03T00:00:00
19,AAON,33.650002,35.299999,32.849998,35.200001,34.00156,248000.0,2017-08-04T00:00:00
20,AAON,35.099998,35.450001,34.400002,34.950001,33.760059,220100.0,2017-08-07T00:00:00
21,AAON,34.849998,35.150002,34.599998,34.900002,33.711773,176000.0,2017-08-08T00:00:00
22,AAON,34.75,34.75,33.650002,33.799999,32.64922,142500.0,2017-08-09T00:00:00
23,AAON,33.599998,33.650002,33.049999,33.400002,32.26284,117600.0,2017-08-10T00:00:00
24,AAON,33.549999,33.700001,33.049999,33.099998,31.973057,111200.0,2017-08-11T00:00:00
25,AAON,33.25,33.799999,33.25,33.700001,32.552624,72900.0,2017-08-14T00:00:00
26,AAON,33.799999,33.950001,32.669998,32.700001,31.586672,96100.0,2017-08-15T00:00:00
27,AAON,32.900002,33.0,32.400002,32.400002,31.296885,163100.0,2017-08-16T00:00:00
28,AAON,32.25,32.450001,31.530001,31.65,30.572418,180500.0,2017-08-17T00:00:00
29,AAON,31.299999,32.049999,31.299999,31.65,30.572418,118700.0,2017-08-18T00:00:00
30,AAON,31.700001,31.950001,31.35,31.700001,30.62072,158100.0,2017-08-21T00:00:00
31,AAON,31.950001,32.400002,31.83,32.25,31.151993,60100.0,2017-08-22T00:00:00
32,AAON,32.150002,32.150002,31.75,31.85,30.765614,67200.0,2017-08-23T00:00:00
33,AAON,31.9,32.0,31.450001,31.799999,30.717314,74300.0,2017-08-24T00:00:00
34,AAON,31.85,32.049999,31.450001,31.799999,30.717314,81400.0,2017-08-25T00:00:00
35,AAON,31.85,32.0,31.5,31.9,30.813908,124500.0,2017-08-28T00:00:00
36,AAON,31.799999,32.200001,31.6,32.0,30.910505,127100.0,2017-08-29T00:00:00
37,AAON,31.950001,32.400002,31.950001,32.299999,31.200293,106900.0,2017-08-30T00:00:00
38,AAON,32.400002,32.900002,32.349998,32.599998,31.490078,96200.0,2017-08-31T00:00:00
39,AAON,32.700001,32.950001,32.549999,32.75,31.634968,89900.0,2017-09-01T00:00:00
40,AAON,32.650002,33.0,32.299999,32.349998,31.24859,102600.0,2017-09-05T00:00:00
41,AAON,32.5,32.779999,32.400002,32.549999,31.441778,107800.0,2017-09-06T00:00:00
42,AAON,32.75,32.75,31.799999,31.85,30.765614,126800.0,2017-09-07T00:00:00
43,AAON,31.75,32.279999,31.6,31.85,30.765614,228300.0,2017-09-08T00:00:00
44,AAON,32.0,32.169998,31.75,31.9,30.813908,119700.0,2017-09-11T00:00:00
45,AAON,31.950001,32.450001,31.85,31.950001,30.862209,148200.0,2017-09-12T00:00:00
46,AAON,31.950001,32.799999,31.9,32.599998,31.490078,129100.0,2017-09-13T00:00:00
47,AAON,32.599998,32.650002,32.200001,32.650002,31.538378,68100.0,2017-09-14T00:00:00
48,AAON,32.700001,33.0,32.400002,32.950001,31.828161,314000.0,2017-09-15T00:00:00
49,AAON,33.049999,33.349998,32.75,33.150002,32.021347,99400.0,2017-09-18T00:00:00
50,AAON,33.150002,33.200001,32.900002,33.200001,32.069649,104300.0,2017-09-19T00:00:00
51,AAON,33.099998,33.849998,32.389999,33.450001,32.311142,125900.0,2017-09-20T00:00:00
52,AAON,33.549999,33.700001,33.200001,33.349998,32.214542,134800.0,2017-09-21T00:00:00
53,AAON,33.150002,33.599998,33.099998,33.299999,32.166245,138300.0,2017-09-22T00:00:00
54,AAON,33.25,33.5,33.049999,33.400002,32.26284,86000.0,2017-09-25T00:00:00
55,AAON,33.450001,34.0,33.349998,33.700001,32.552624,85700.0,2017-09-26T00:00:00
56,AAON,33.900002,35.200001,33.799999,34.950001,33.760059,210600.0,2017-09-27T00:00:00
57,AAON,34.950001,35.029999,34.450001,34.849998,33.663467,111500.0,2017-09-28T00:00:00
58,AAON,34.900002,35.0,34.400002,34.48,33.306068,238400.0,2017-09-29T00:00:00
59,AAON,34.5,35.150002,34.299999,35.150002,33.953259,170200.0,2017-10-02T00:00:00
60,AAON,35.200001,35.5,34.75,35.450001,34.243046,151500.0,2017-10-03T00:00:00
61,AAON,35.400002,35.599998,34.950001,35.349998,34.146454,96900.0,2017-10-04T00:00:00
62,AAON,35.400002,35.400002,34.950001,35.150002,33.953259,102900.0,2017-10-05T00:00:00
63,AAON,34.950001,35.549999,34.799999,35.450001,34.243046,145300.0,2017-10-06T00:00:00
64,AAON,35.450001,35.75,33.040001,35.400002,34.194748,111700.0,2017-10-09T00:00:00
65,AAON,35.450001,35.549999,34.549999,34.799999,33.615177,167600.0,2017-10-10T00:00:00
66,AAON,34.75,35.0,34.099998,34.25,33.0839,164300.0,2017-10-11T00:00:00
67,AAON,34.200001,34.5,34.049999,34.150002,32.987305,190100.0,2017-10-12T00:00:00
68,AAON,34.150002,34.450001,33.75,33.849998,32.697521,182900.0,2017-10-13T00:00:00
69,AAON,33.950001,35.150002,33.799999,34.299999,33.132191,106200.0,2017-10-16T00:00:00
70,AAON,34.200001,34.400002,33.650002,33.75,32.600933,75900.0,2017-10-17T00:00:00
71,AAON,33.849998,34.450001,33.799999,34.25,33.0839,84200.0,2017-10-18T00:00:00
72,AAON,34.049999,34.27,33.799999,34.200001,33.035603,96700.0,2017-10-19T00:00:00
73,AAON,34.549999,35.099998,34.400002,34.599998,33.421982,134100.0,2017-10-20T00:00:00
74,AAON,34.549999,35.700001,34.349998,34.650002,33.470284,120800.0,2017-10-23T00:00:00
75,AAON,34.599998,35.529999,34.599998,35.099998,33.904953,162300.0,2017-10-24T00:00:00
76,AAON,35.150002,35.529999,34.450001,34.900002,33.711773,118000.0,2017-10-25T00:00:00
77,AAON,35.0,35.130001,34.75,34.75,33.566875,73200.0,2017-10-26T00:00:00
78,AAON,34.799999,35.150002,34.5,34.799999,33.615177,101900.0,2017-10-27T00:00:00
79,AAON,34.549999,34.700001,33.950001,34.299999,33.132191,176800.0,2017-10-30T00:00:00
80,AAON,34.5,35.400002,34.5,35.0,33.808369,183300.0,2017-10-31T00:00:00
81,AAON,35.25,35.25,34.099998,34.400002,33.228798,118100.0,2017-11-01T00:00:00
82,AAON,34.299999,34.759998,34.150002,34.349998,33.180492,139100.0,2017-11-02T00:00:00
83,AAON,34.299999,34.700001,33.950001,34.450001,33.277088,151800.0,2017-11-03T00:00:00
84,AAON,34.5,34.75,34.25,34.700001,33.518585,107200.0,2017-11-06T00:00:00
85,AAON,34.650002,34.75,34.400002,34.599998,33.421982,180300.0,2017-11-07T00:00:00
86,AAON,34.5,35.25,34.099998,34.400002,33.228798,104600.0,2017-11-08T00:00:00
87,AAON,34.150002,34.5,33.299999,33.349998,32.214542,151400.0,2017-11-09T00:00:00
88,AAON,33.25,34.150002,33.25,33.799999,32.64922,134100.0,2017-11-10T00:00:00
89,AAON,33.599998,34.25,33.450001,33.799999,32.64922,91400.0,2017-11-13T00:00:00
90,AAON,33.650002,34.450001,33.450001,34.299999,33.132191,122500.0,2017-11-14T00:00:00
91,AAON,34.049999,34.200001,33.650002,33.900002,32.745819,117300.0,2017-11-15T00:00:00
92,AAON,34.099998,35.110001,33.900002,34.25,33.0839,205900.0,2017-11-16T00:00:00
93,AAON,34.049999,34.799999,33.599998,34.450001,33.277088,122800.0,2017-11-17T00:00:00
94,AAON,34.549999,35.0,34.5,34.950001,33.760059,113900.0,2017-11-20T00:00:00
95,AAON,35.049999,35.900002,35.0,35.799999,34.581127,229200.0,2017-11-21T00:00:00
96,AAON,35.75,35.849998,35.380001,35.700001,34.484531,90200.0,2017-11-22T00:00:00
97,AAON,35.75,35.849998,35.349998,35.849998,34.629425,55500.0,2017-11-24T00:00:00
98,AAON,35.799999,35.849998,35.200001,35.25,34.04985,101100.0,2017-11-27T00:00:00
